Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc,Rating
SCED,298,5,1.0,TBA,,TBA,0,7,R Kelly,24323,In Person,Research,3.5
NUFS,134,1,3.0,1800,2045.0,T,37,40,C Haas,29567,In Person,Comp Alt Health,2.49
BIOL,101,80,3.0,TBA,,TBA,40,40,E McGee-Bergerol,23262,Online - TBA With Few Campus Mtg,Origins of Life,2.49
JS,102,80,3.0,TBA,,TBA,67,65,J Randle,25100,Online Only - TBA Mtg Pat,Police and Society,3.9
ENGL,001B,7,3.0,0900,1015.0,TR,25,25,C Saylor,22448,In Person,Argument and Analysis,4.4
DANC,048A,4,1.0,1030,1120.0,TR,3,40,H Schmitt,29371,In Person,Beg Latin Dance,
ART,024,2,3.0,1200,1450.0,MW,23,24,O Harb,21922,In Person,Drawing I,2.49
MATH,012,2,3.0,1330,1445.0,MW,23,28,L Roper,28886,In Person,Number Systems,3.5
HIST,001A,1,3.0,1500,1615.0,MW,15,28,A Katsev,27701,In Person,World History to 1500,4.4
ART,046,3,3.0,0900,1150.0,TR,21,25,A Trippler,21924,In Person,Intro to Ceramics,2.49
BIOL,021,17,0.0,TBA,,TBA,24,24,S Cargill,20079,In Person,Human Biology,2.9
ANI,021,2,3.0,1800,2050.0,MW,16,25,C Chun,21450,In Person,Color Principles,3.4
INFO,282,1,3.0,TBA,,TBA,7,35,J Horodyski,22486,Online Only - TBA Mtg Pat,Sem in Libr Mgmt,1.9
STAT,115,2,3.0,1630,1745.0,MW,33,32,M Hosoda,21445,In Person,Interm Stat,3.9
ARTH,191A,1,3.0,1200,1315.0,TR,50,50,D Bowen,26805,In Person,Contemporary Issues,4.0
CMPE,195E,1,1.0,1800,2045.0,W,96,90,R Fatoohi,27493,In Person,Sr Design Project,2.4
AMS,001B,14,0.0,1330,1445.0,MW,11,32,V Lo,27790,In Person,Am Cults 1877-pres,2.49
BIOL,101,81,3.0,TBA,,TBA,40,40,E McGee-Bergerol,23263,Online - TBA With Few Campus Mtg,Origins of Life,2.49
PHIL,299,3,3.0,TBA,,TBA,0,5,,28762,In Person,Masters Thesis,2.49
COMM,182P,1,4.0,1030,1145.0,TR,27,25,M Sunseri,23686,In Person,Comm in Class Rm,4.8
TECH,198,80,3.0,TBA,,TBA,34,40,P Backer,27545,Online Only - TBA Mtg Pat,Technology & Civil,1.4
COMM,020,13,3.0,0730,845.0,W,27,25,A Iyengar,22046,2 Pat - Mtg Pat & TBA (See Class Note),Public Speaking,4.9
BUS1,021,6,3.0,1500,1615.0,TR,50,42,T Robinson,24810,In Person,Managerial Acctg,4.5
ME,115,2,1.0,1330,1615.0,T,17,15,S Zaidi,21024,In Person,Thermal Eng Lab,3.5
BIOL,031,13,0.0,1330,1620.0,T,24,22,S Gee,22924,In Person,Biology II,3.9
COMM,280,3,3.0,TBA,,TBA,1,5,M Spangler,26728,In Person,Independent Study,4.6
NURS,147A,7,2.0,1500,2100.0,M,9,9,R Khalsa,30074,In Person,Mental Health Clin,2.49
CHE,194,2,0.0,1830,2115.0,R,16,18,K Kao,27380,In Person,Bio Chem Engr Lab,2.49
MILS,130B,2,0.0,1415,1700.0,W,8,30,M Morales,20201,In Person,Appl Tm Ldrshp,2.49
BUS2,137S,80,3.0,TBA,,TBA,54,45,M Merz,25814,Online Only - TBA Mtg Pat,Mkt Special Topics,4.0
BUS3,160,3,3.0,0900,1015.0,MW,112,110,R Pollard,20110,In Person,Fund Mgmt & Org Beh,4.1
BUS2,190,7,3.0,0900,1015.0,TR,109,110,B Makani,23083,In Person,Quant Bus Analysis,4.2
INFO,299,1,3.0,TBA,,TBA,0,6,L Main,22501,Online Only - TBA Mtg Pat,MA Thesis/Project,3.4
SCWK,112,5,3.0,1800,2045.0,W,17,30,L Moore-Guerra,29933,In Person,Gen Practice II,3.2
COMM,100W,9,3.0,1030,1145.0,T,25,25,J Lacrampe,21248,2 Pat - Mtg Pat & TBA (See Class Note),Writing Workshop,4.3
ANTH,011,1,3.0,1030,1145.0,TR,39,40,M Beresford,21304,In Person,Cultural Anthro,2.49
COMM,010,99,3.0,TBA,,TBA,25,27,D Morella-Pozzi,27618,Online Only - TBA Mtg Pat,Comm and Relations,2.49
ARTH,180,2,3.0,TBA,,TBA,2,10,A Raynsford,30038,In Person,Indiv Studies ArtH,4.0
