Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc
ENGR,100W,54,0,1400,1650,R,23,22,B Murphywesley,44235,In Person,Engr Reports
KIN,008,02,0,TBA,,TBA,23,25,F Barry,43013,In Person,Scuba Diving
BIOL,160,12,0,1030,1320,F,17,20,L Braga,47493,In Person,Ecology
MATH,012,01,3,1200,1315,MW,29,28,L Roper,48467,In Person,Number Systems
PSYC,100W,09,3,1200,1315,MW,24,24,L Cabral,48867,In Person,Writing Workshop
CCS,180,01,1-4,TBA,,TBA,0,0,J Gomez,48696,In Person,Indiv Studies
OCTH,276,03,0,1700,1905,M,20,21,G Teaford,42970,In Person,Pract & Seminar 1A
BIOL,190,04,4,TBA,,TBA,0,15,,43619,In Person,Fld Studies Biol
BUS3,012,62,3,1800,2045,M,45,45,J Jain,47041,In Person,Managing My Life
NUFS,106B,01,3,0900,1015,TR,18,30,J Gieng,46421,In Person,Resrch Method NufS
AAS,033A,15,3,1200,1315,TR,40,40,S Choi,47935,In Person,AAS History I
PHYS,023,01,3,1630,1720,R,27,30,W Seneshen,43888,2 Pat - Mtg Pat & TBA (See Class Note),Animation Physics
COMM,020,16,3,0900,1015,T,24,26,R Cnudde,41894,2 Pat - Mtg Pat & TBA (See Class Note),Public Speaking
COMM,100W,03,3,1630,1745,T,26,25,J Lacrampe,41533,2 Pat - Mtg Pat & TBA (See Class Note),Writing Workshop
CE,181,01,3,0900,1015,MW,19,18,I Jeyachandran,41397,In Person,Civ Eng Systems
CMPE,050,02,0,1330,1620,T,27,30,C Tarng,43191,In Person,Object Orient Concept Meth
ADV,095,01,3,1030,1145,MW,19,20,T Korani,47018,In Person,Working With Type
PHIL,132,01,3,1500,1745,W,20,35,K Brown,42923,In Person,Ethical Theory
RTVF,020,01,3,0900,1045,T,18,18,J Abrams,49001,In Person,Intro Audio FilmTV
